id,latitude,longitude
1261,-77.0444370424,38.9107454351
1262,-77.0461374389,38.9137172579
1263,-77.0439214632,38.9212942982
1264,-77.0467753818,38.9235095985
1265,-77.0435594881,38.9220543759
1266,-77.043539693,38.9221191531
1267,-77.0425659513,38.8989371737
1268,-77.0408166182,38.8996190102
1269,-77.0404721487,38.9010256051
1270,-77.0388096887,38.9008959985
1271,-77.0392403709,38.9010755713
1272,-77.0432214599,38.9058284152
1273,-77.0431965676,38.9060363371
1274,-77.0426442289,38.906654783
1275,-77.0423597119,38.9059209763
1276,-77.0419609372,38.906148581
1277,-77.0409076078,38.9091243215
1278,-77.0420395422,38.9094331761
1279,-77.0382695865,38.9122858821
1280,-77.0382682256,38.909964343
1281,-77.0382555537,38.9123493054
1282,-77.0414879949,38.9144477756
1283,-77.0419412988,38.9213762808
1284,-77.0419250866,38.918122569
1285,-77.0419089265,38.921234051
1286,-77.0418316239,38.9186089622
1287,-77.0415983717,38.9204292681
1288,-77.0415828886,38.9203763046
1289,-77.0414840718,38.9199937561
1290,-77.0431713268,38.9216696844
1291,-77.0426696374,38.921761123
1292,-77.0421814264,38.9220265953
1293,-77.0420559127,38.9217493644
1294,-77.0419867873,38.9214676989
1295,-77.040991565,38.9242073929
1296,-77.0402034591,38.9246134013
1297,-77.0383132864,38.9251651652
1298,-77.0369567773,38.9005252748
1299,-77.033388683,38.9005747239
1300,-77.0333288272,38.8980560035
1301,-77.0332616623,38.8996309544
1302,-77.0361599032,38.9049958301
1303,-77.0356591599,38.9021508758
1304,-77.0332231468,38.9043091847
1305,-77.0380496794,38.9070489534
1306,-77.0361302008,38.9082660499
1307,-77.0330050359,38.9080805018
1308,-77.0339275661,38.9094079775
1309,-77.0368553386,38.9157178823
1310,-77.0359540431,38.9172131859
1311,-77.0378332256,38.9260859716
1312,-77.0329837191,38.929300436
1313,-77.0372628166,38.936427962
1314,-77.0330067127,38.9468338158
1315,-77.0313718035,38.8963673872
1316,-77.0302118674,38.8949395967
1317,-77.0328111449,38.9021418012
1318,-77.0326883674,38.9028996184
1319,-77.0313164657,38.9029204432
1320,-77.0312463688,38.9039670524
1321,-77.0327055977,38.9168437177
1322,-77.0317252591,38.9171475688
1323,-77.0315837201,38.9152028883
1324,-77.0315552759,38.9142430579
1325,-77.0313007427,38.9167447406
1326,-77.0309857419,38.9167984241
1327,-77.0305879162,38.9167767288
1328,-77.0277679533,38.9171636201
1329,-77.0322895648,38.9196507387
1330,-77.0322758557,38.9194252641
1331,-77.0322631408,38.9198677566
1332,-77.032421367,38.9292864503
1333,-77.0324359248,38.934414785
1334,-77.0324157869,38.9395901475
1335,-77.0274048039,38.895155679
1336,-77.0237126816,38.8965187319
1337,-77.0264877382,38.8993402753
1338,-77.0243262534,38.8970659539
1339,-77.0243262534,38.8970659539
1340,-77.0234399697,38.8990714865
1341,-77.0226628298,38.9000514792
1342,-77.0267216834,38.9043717491
1343,-77.0226729579,38.9010871681
1344,-77.0232152363,38.9116648444
1345,-77.0264261104,38.9172061803
1346,-77.0242217214,38.9168295693
1347,-77.0237565153,38.9166822885
1348,-77.023743907,38.9162171008
1349,-77.0272485421,38.924560838
1350,-77.0237209397,38.9303678256
1351,-77.0243614634,38.9350210237
1352,-77.0237020431,38.9338905273
1353,-77.0249137993,38.9425541833
1354,-77.024224576,38.9422073289
1355,-77.0276693814,38.9549549881
1356,-77.0222016263,38.8957348507
1357,-77.0223649611,38.898644701
1358,-77.0211945624,38.8995436833
1359,-77.0209546523,38.897939878
1360,-77.0203986862,38.8996316565
1361,-77.0202601275,38.8996647413
1362,-77.0193357775,38.900002261
1363,-77.0186429507,38.9000699363
1364,-77.0177278526,38.9010407293
